日期,星期,開盤,收盤,近月,遠月,小散戶,微散戶,結算近-散戶,主力,籌碼,信號,操作
2024/04/09,二,20538,20874,27998,28422,-19247.0,,47245,52705.0,42397.0,⬆️多方 💪最強,續抱
2024/04/10,三,20822,20851,8835,10207,-8393.0,,17228,21889.5,19531.5,⬆️多方 💪最強,續抱
2024/04/11,四,20706,20753,-22574,-22230,-1646.0,,-20928,-7823.0,-50899.5,⬇️空方,續抱
2024/04/12,五,20745,20755,-23724,-12532,-2081.0,,-21643,-2104.0,-2868.0,⬇️空方,續抱
2024/04/15,一,20544,20508,-27966,-33860,9660.0,,-37626,-36250.0,-55034.5,🔴翻空,👉 隔天出場
2024/04/16,二,20278,19953,-13537,-33738,19086.0,,-32623,-55041.0,-107746.0,⬇️空方 ⚠️危險,觀望
2024/04/17,三,19942,20238,-22122,-22749,4632.0,,-26754,-20638.5,-42528.0,⬇️空方 ⚠️危險,觀望
2024/04/18,四,20070,20358,-18699,-17597,2011.0,,-20710,-12820.5,-4997.5,⬇️空方 ⚠️危險,觀望
2024/04/19,五,19840,19546,-34134,-35971,18930.0,,-53064,-55845.5,-53741.5,⬇️空方 ⚠️危險,觀望
2024/04/22,一,19620,19524,-21522,-27385,14452.0,,-35974,-42596.5,-6346.5,⬇️空方 ⚠️危險,觀望
2024/04/23,二,19651,19677,-11464,-13030,7130.0,,-18594,-20775.0,34266.0,⬇️空方 ⚠️危險,觀望
2024/04/24,三,19930,20170,-5621,-7246,-2748.0,,-2873,1873.0,22511.5,↗️弱多,觀望
2024/04/25,四,19940,19885,-15596,-19064,13049.0,,-28645,-35630.0,-22809.5,⬇️空方 ⚠️危險,觀望
2024/04/26,五,20126,20178,3336,510,-2224.0,,5560,4703.0,60548.5,↗️弱多,觀望
2024/04/29,一,20350,20552,-6839,-9609,-9813.0,,2974,14821.5,57418.0,🟢翻多,👉 隔天進場
2024/04/30,二,20518,20413,2034,-1164,-3747.0,,5781,6912.0,27687.0,⬆️多方 💪最強,續抱
2024/05/02,四,20250,20291,-14754,-17848,3515.0,,-18269,-15954.0,-17827.0,⬇️空方 ⚠️危險,續抱
2024/05/03,五,20548,20382,-26459,-27188,4020.0,,-30479,-21634.0,13996.0,⬇️空方 ⚠️危險,續抱
2024/05/06,一,20685,20602,-9084,-11588,-3272.0,,-5812,750.0,-3953.0,↗️弱多,續抱
2024/05/07,二,20733,20650,-13108,-13921,-2092.0,,-11016,-2776.5,-17598.0,⬇️空方,續抱
2024/05/08,三,20618,20725,-3696,-6680,-9069.0,,5373,14798.0,7886.0,🟢翻多,續抱
2024/05/09,四,20707,20612,-9576,-12582,96.0,,-9672,-6483.0,9471.0,⬇️空方 ⚠️危險,續抱
2024/05/10,五,20738,20809,-8944,-3771,-12773.0,,3829,23660.5,45294.5,🟢翻多,續抱
2024/05/13,一,20942,20883,-1739,-5662,-4433.0,,2694,6035.0,5285.0,⬆️多方 💪最強,續抱
2024/05/14,二,20892,21013,-11375,5070,-10520.0,,-855,23575.0,26351.5,⬆️多方 💪最強,續抱
2024/05/15,三,21184,21143,17570,14550,-5643.0,,23213,18561.0,3763.0,⬆️多方 💪最強,續抱
2024/05/16,四,21465,21370,-610,-5946,1182.0,,-1792,-5337.0,1146.0,⬇️空方 ⚠️危險,續抱
2024/05/17,五,21303,21336,-11859,-15803,3350.0,,-15209,-14601.5,-38262.0,⬇️空方 ⚠️危險,續抱
2024/05/20,一,21435,21302,-12403,-17939,6321.0,,-18724,-21611.5,-27646.5,🔴翻空,👉 隔天出場
2024/05/21,二,21324,21277,-5260,-11710,5728.0,,-10988,-17311.0,-40886.0,⬇️空方 ⚠️危險,觀望
2024/05/22,三,21293,21583,7251,153,-5582.0,,12833,11240.5,-7320.5,🟢翻多,👉 隔天進場
2024/05/23,四,21630,21604,2995,-3347,-857.0,,3852,40.5,5377.5,↗️弱多,續抱
2024/05/24,五,21448,21565,339,-6181,1952.0,,-1613,-6994.5,7607.0,⬇️空方 ⚠️危險,續抱
2024/05/27,一,21670,21875,1879,-4163,-2926.0,,4805,3770.5,25382.0,↗️弱多,續抱
2024/05/28,二,21892,21954,-2306,-9178,-2405.0,,99,221.0,17532.0,↗️弱多,續抱
2024/05/29,三,21865,21722,-23707,-30091,13519.0,,-37226,-42083.5,-53324.0,⬇️空方 ⚠️危險,續抱
2024/05/30,四,21512,21391,-26064,-32479,14491.0,,-40555,-45221.5,-45262.0,⬇️空方 ⚠️危險,續抱
2024/05/31,五,21505,21285,-23309,-30071,16841.0,,-40150,-48717.5,-41723.0,🔴翻空,👉 隔天出場
2024/06/03,一,21469,21654,-25387,-32773,6746.0,,-32133,-29878.5,-33649.0,⬇️空方 ⚠️危險,觀望
2024/06/04,二,21560,21320,-36030,-41894,18435.0,,-54465,-57817.0,-58038.0,⬇️空方 ⚠️危險,觀望
2024/06/05,三,21350,21463,-25652,-33972,11563.0,,-37215,-40112.0,1971.5,⬇️空方 ⚠️危險,觀望
2024/06/06,四,21825,21875,-6160,-14372,1413.0,,-7573,-10012.0,35209.5,⬇️空方 ⚠️危險,觀望
2024/06/07,五,21839,21897,-7080,-14790,5651.0,,-12731,-18697.0,30020.5,⬇️空方 ⚠️危險,觀望
2024/06/11,二,21920,21798,-17004,-22178,8434.0,,-25438,-27957.0,1921.5,⬇️空方 ⚠️危險,觀望
2024/06/12,三,21829,22046,2002,-4334,-6557.0,,8559,10947.0,68764.0,🟢翻多,👉 隔天進場
2024/06/13,四,22308,22323,1817,-11364,-1324.0,,3141,-3034.0,37078.0,⬇️空方,續抱
2024/06/14,五,22274,22511,509,-13735,-2490.0,,2999,-1887.5,8124.5,⬇️空方,續抱
2024/06/17,一,22430,22477,-3772,-9403,3110.0,,-6882,-10921.5,7775.5,🔴翻空,👉 隔天出場
2024/06/18,二,22726,22786,-5044,-11117,-1040.0,,-4004,-3478.5,24478.5,⬇️空方,觀望
2024/06/19,三,22956,23225,6812,6686,-8455.0,,15267,20253.0,9306.0,🟢翻多,👉 隔天進場
2024/06/20,四,23153,23378,-9050,-11348,-766.0,,-8284,-4142.0,-1108.0,⬇️空方,續抱
2024/06/21,五,23034,23210,-26918,-34273,1287.0,,-28205,-19710.5,-17823.0,⬇️空方 ⚠️危險,續抱
2024/06/24,一,23050,22746,-30024,-36083,8391.0,,-38415,-34823.5,-23902.0,🔴翻空,👉 隔天出場
2024/06/25,二,22608,22743,-37686,-45948,7221.0,,-44907,-37416.0,-33937.5,⬇️空方 ⚠️危險,觀望
2024/06/26,三,22806,22872,-34702,-42972,620.0,,-35322,-22726.0,-42979.0,⬇️空方 ⚠️危險,觀望
2024/06/27,四,22614,22793,-33274,-39462,1977.0,,-35251,-23685.0,-19543.0,⬇️空方 ⚠️危險,觀望
2024/06/28,五,22908,22983,-40497,-47374,1096.0,,-41593,-25879.0,-6168.5,⬇️空方 ⚠️危險,觀望
2024/07/01,一,22960,22991,-43054,-51090,1387.0,,-44441,-28319.0,6504.5,⬇️空方 ⚠️危險,觀望
2024/07/02,二,22838,22831,-33596,-42129,2504.0,,-36100,-26072.5,11343.5,⬇️空方 ⚠️危險,觀望
2024/07/03,三,23073,23185,-37258,-43085,-10661.0,,-26597,-220.5,22505.5,⬇️空方,觀望
2024/07/04,四,23487,23624,-34383,-40573,-10748.0,,-23635,1209.5,24894.5,↗️弱多,觀望
2024/07/05,五,23659,23570,-45984,-48757,-4831.0,,-41153,-14716.5,11162.5,⬇️空方,觀望
2024/07/08,一,23545,23913,-40826,-45842,-12275.0,,-28551,1629.0,29948.0,↗️弱多,觀望
2024/07/09,二,23945,23878,-53092,-61163,-3709.0,,-49383,-23163.5,2909.0,⬇️空方,觀望
2024/07/10,三,23759,24000,-48474,-53742,-11752.0,,-36722,-3367.0,-3146.5,⬇️空方,觀望
2024/07/11,四,24251,24367,-55042,-58101,-11037.0,,-44005,-6976.5,-8186.0,🔴翻空,觀望
2024/07/12,五,24038,23808,-63570,-64909,-2143.0,,-61427,-28168.5,-13452.0,⬇️空方,觀望
2024/07/15,一,24091,23853,-43549,-54132,-7141.0,,-36408,-12784.0,-14413.0,⬇️空方,觀望
2024/07/16,二,23830,24002,-27432,-58203,-10324.0,,-17108,-8453.5,14710.0,⬇️空方,觀望
2024/07/17,三,23980,23679,-51134,-51954,19531.0,,-70665,-65039.0,-61672.0,⬇️空方 ⚠️危險,觀望
2024/07/18,四,23294,23383,-75796,-76832,22501.0,,-98297,-83418.0,-76441.5,⬇️空方 ⚠️危險,觀望
2024/07/19,五,23148,22909,-61318,-65527,20065.0,,-81383,-72893.5,-44725.0,⬇️空方 ⚠️危險,觀望
2024/07/22,一,22859,22379,-65998,-72445,22627.0,,-88625,-81476.5,-68692.5,⬇️空方 ⚠️危險,觀望
2024/07/23,二,22600,22830,-42936,-48808,14202.0,,-57138,-52808.0,-44354.5,⬇️空方 ⚠️危險,觀望
2024/07/26,五,22028,22095,-55481,-60858,22440.0,,-77921,-75309.0,-10270.0,⬇️空方 ⚠️危險,觀望
2024/07/29,一,22430,22261,-51413,-54416,20753.0,1645.0,-72166,-49606.0,33812.0,⬇️空方 ⚠️危險,觀望
2024/07/30,二,21933,22246,-55511,-58939,23130.0,1165.0,-78641,-53764.5,19129.0,⬇️空方 ⚠️危險,觀望
2024/07/31,三,22050,22290,-49615,-52985,21682.0,-3114.0,-71297,-45060.5,36416.0,⬇️空方 ⚠️危險,觀望
2024/08/01,四,22721,22653,-50989,-53404,24023.0,-4726.0,-75012,-45999.0,6809.0,⬇️空方 ⚠️危險,觀望
2024/08/02,五,22000,21533,-58369,-64632,26343.0,4597.0,-84712,-63256.0,12053.0,⬇️空方 ⚠️危險,觀望
2024/08/05,一,20712,19374,-44401,-55562,13696.0,-1712.0,-58097,-39765.0,9841.0,⬇️空方 ⚠️危險,觀望
2024/08/06,二,20395,20420,-31963,-39375,7066.0,-6489.0,-39029,-20264.5,33500.0,⬇️空方 ⚠️危險,觀望
2024/08/07,三,20500,21131,-16532,-23946,17349.0,-14074.0,-33881,-15248.0,29812.5,⬇️空方 ⚠️危險,觀望
2024/08/08,四,20680,20696,-15413,-24501,21833.0,-2687.0,-37246,-31396.5,14602.5,⬇️空方 ⚠️危險,觀望
2024/08/09,五,21305,21481,-2597,-14642,15352.0,-13211.0,-17949,-9462.0,53794.0,⬇️空方 ⚠️危險,觀望
2024/08/12,一,21650,21677,-14706,-24543,20643.0,-11034.0,-35349,-21880.5,17884.5,⬇️空方 ⚠️危險,觀望
2024/08/13,二,21848,21769,-14104,-25467,19947.0,-11052.0,-34051,-21628.5,-1364.0,⬇️空方 ⚠️危險,觀望
2024/08/14,三,22104,21978,-5668,-22514,19258.0,-19845.0,-24926,-10670.0,4578.0,⬇️空方 ⚠️危險,觀望
2024/08/15,四,21993,21840,-11613,-31034,23495.0,-17463.0,-35108,-21549.0,9847.5,⬇️空方 ⚠️危險,觀望
2024/08/16,五,22324,22367,-14979,-31214,21389.0,-13584.0,-36368,-23412.0,-13950.0,⬇️空方 ⚠️危險,觀望
2024/08/19,一,22400,22361,-11080,-29741,26611.0,-9935.0,-37691,-31546.5,-9666.0,⬇️空方 ⚠️危險,觀望
2024/08/20,二,22555,22436,-14924,-29580,26351.0,-8039.0,-41275,-33102.0,-11473.5,⬇️空方 ⚠️危險,觀望
2024/08/21,三,22311,22200,-35425,-35284,12343.0,6974.0,-47768,-36959.0,-26289.0,⬇️空方 ⚠️危險,觀望
2024/08/22,四,22229,22100,-29997,-29887,14607.0,9607.0,-44604,-39157.5,-17608.5,⬇️空方 ⚠️危險,觀望
2024/08/23,五,21942,22129,-26831,-26476,11296.0,14866.0,-38127,-39400.0,-15988.0,⬇️空方 ⚠️危險,觀望
2024/08/26,一,22230,22206,-37105,-36315,10358.0,17272.0,-47463,-45787.5,-14241.0,⬇️空方 ⚠️危險,觀望
2024/08/27,二,22112,22146,-38957,-40408,13585.0,21668.0,-52542,-55457.0,-22355.0,⬇️空方 ⚠️危險,觀望
2024/08/28,三,22181,22401,-34591,-34041,7485.0,14924.0,-42076,-39429.5,-2470.5,⬇️空方 ⚠️危險,觀望
2024/08/29,四,21938,22176,-39592,-39110,16377.0,14106.0,-55969,-50038.0,-10880.5,⬇️空方 ⚠️危險,觀望
2024/08/30,五,22320,22323,-35522,-34845,12336.0,10137.0,-47858,-39895.5,-495.5,⬇️空方 ⚠️危險,觀望
2024/09/02,一,22318,22227,-46429,-45964,14318.0,19207.0,-60747,-56507.0,-10719.5,⬇️空方 ⚠️危險,觀望
2024/09/03,二,22205,22070,-41992,-41915,12504.0,22388.0,-54496,-55849.5,-392.5,⬇️空方 ⚠️危險,觀望
2024/09/04,三,21246,20947,-23083,-23657,7296.0,22580.0,-30379,-41704.5,-2275.0,⬇️空方 ⚠️危險,觀望
2024/09/05,四,21310,21183,-910,414,5013.0,18783.0,-5923,-23589.0,26449.0,⬇️空方 ⚠️危險,觀望
2024/09/06,五,21211,21319,1765,2843,7709.0,14879.0,-5944,-21166.5,18729.0,⬇️空方 ⚠️危險,觀望
2024/09/09,一,20734,21073,-2062,1606,6989.0,14621.0,-9051,-20807.0,35700.0,⬇️空方 ⚠️危險,觀望
2024/09/10,二,21233,21000,5308,2653,6251.0,18339.0,-943,-23263.5,32586.0,⬇️空方 ⚠️危險,觀望
2024/09/11,三,21100,21005,5554,-2335,6437.0,16411.0,-883,-24015.5,17689.0,⬇️空方 ⚠️危險,觀望
2024/09/12,四,21597,21711,-16912,-25037,2322.0,4179.0,-19234,-19019.5,4569.5,⬇️空方 ⚠️危險,觀望
2024/09/13,五,21800,21820,-23945,-32933,3489.0,6839.0,-27434,-26794.5,-5628.0,⬇️空方 ⚠️危險,觀望
2024/09/16,一,21807,21813,-14377,-32287,3743.0,8584.0,-18120,-28470.5,-7663.5,⬇️空方 ⚠️危險,觀望
2024/09/18,三,21730,21619,-23206,-23174,7945.0,3537.0,-31151,-23069.0,194.5,⬇️空方 ⚠️危險,觀望
2024/09/19,四,21763,22074,-20772,-22271,5187.0,-6236.0,-25959,-10086.5,13929.0,⬇️空方 ⚠️危險,觀望
2024/09/20,五,22345,22220,-25001,-25533,4826.0,-1942.0,-29827,-15650.5,3369.0,⬇️空方 ⚠️危險,觀望
2024/09/23,一,22291,22338,-40433,-40998,7189.0,-3665.0,-47622,-24023.0,2771.5,⬇️空方 ⚠️危險,觀望
2024/09/24,二,22298,22491,-29145,-29267,489.0,-6152.0,-29634,-8970.5,19500.0,⬇️空方 ⚠️危險,觀望
2024/09/25,三,22835,22792,-27173,-27367,755.0,-3499.0,-27928,-10939.5,12129.5,⬇️空方 ⚠️危險,觀望
2024/09/26,四,23034,22957,-41348,-42184,3299.0,-1647.0,-44647,-22744.0,-12657.5,⬇️空方 ⚠️危險,觀望
2024/09/27,五,23190,22884,-42113,-43599,6445.0,4239.0,-48558,-32483.5,-16833.0,⬇️空方 ⚠️危險,觀望
2024/09/30,一,22699,22326,-49177,-51672,6923.0,13272.0,-56100,-46031.0,-22008.0,⬇️空方 ⚠️危險,觀望
2024/10/01,二,22246,22391,-55802,-58665,4797.0,9650.0,-60599,-43779.5,-34809.0,⬇️空方 ⚠️危險,觀望
2024/10/04,五,22331,22284,-46209,-50315,1661.0,7931.0,-47870,-34749.5,-23810.0,⬇️空方 ⚠️危險,觀望
2024/10/07,一,22570,22779,-62360,-66168,3085.0,1797.0,-65445,-37966.0,-15222.0,⬇️空方 ⚠️危險,觀望
2024/10/08,二,22606,22575,-57074,-61086,3555.0,7323.0,-60629,-41421.0,-8937.5,⬇️空方 ⚠️危險,觀望
2024/10/09,三,22770,22702,-53951,-55160,2386.0,3241.0,-56337,-33207.0,12824.0,⬇️空方 ⚠️危險,觀望
2024/10/11,五,22829,22912,-58721,-65401,-546.0,-1983.0,-58175,-30171.5,13608.0,⬇️空方,觀望
2024/10/14,一,22987,23008,-44723,-54844,-3222.0,-2876.0,-41501,-21324.0,13425.5,⬇️空方,觀望
2024/10/15,二,23168,23225,-37119,-48038,-2231.0,-6064.0,-34888,-15724.0,22242.0,⬇️空方,觀望
2024/10/16,三,22897,22986,-23589,-24425,10371.0,4162.0,-33960,-26745.5,14675.5,⬇️空方 ⚠️危險,觀望
2024/10/17,四,23142,23256,-34215,-36132,11239.0,2528.0,-45454,-31833.0,1374.0,⬇️空方 ⚠️危險,觀望
2024/10/18,五,23820,23657,-7198,-10238,8353.0,6825.0,-15551,-20297.0,9874.5,⬇️空方 ⚠️危險,觀望
2024/10/21,一,23810,23567,-27190,-30960,14282.0,10758.0,-41472,-40520.0,-19196.0,⬇️空方 ⚠️危險,觀望
2024/10/22,二,23560,23633,-26567,-30943,8908.0,9769.0,-35475,-34148.5,-18424.5,⬇️空方 ⚠️危險,觀望
2024/10/23,三,23498,23406,-31415,-36458,14541.0,14948.0,-45956,-47718.0,-20972.5,⬇️空方 ⚠️危險,觀望
2024/10/24,四,23383,23304,-30629,-37192,13122.0,13894.0,-43751,-45612.0,-13779.0,⬇️空方 ⚠️危險,觀望
2024/10/25,五,23270,23481,-36309,-41827,9533.0,7685.0,-45842,-38131.5,-17834.5,⬇️空方 ⚠️危險,觀望
2024/10/28,一,23650,23326,-45751,-51407,9726.0,14585.0,-55477,-50014.5,-9494.5,⬇️空方 ⚠️危險,觀望
2024/10/29,二,23137,22976,-39559,-52392,10077.0,17414.0,-49636,-53687.0,-19538.5,⬇️空方 ⚠️危險,觀望
2024/10/30,三,23072,22904,-37194,-48173,5579.0,17201.0,-42773,-46866.5,851.5,⬇️空方 ⚠️危險,觀望
2024/11/01,五,22397,22753,-29390,-42491,5091.0,16314.0,-34481,-42650.5,2961.5,⬇️空方 ⚠️危險,觀望
2024/11/04,一,22767,23041,-23187,-37616,1669.0,12071.0,-24856,-32548.0,5583.5,⬇️空方 ⚠️危險,觀望
2024/11/05,二,22808,23135,-24863,-38273,3322.0,12037.0,-28185,-34495.5,15519.0,⬇️空方 ⚠️危險,觀望
2024/11/06,三,23250,23324,-33323,-47946,4971.0,10639.0,-38294,-39583.0,14104.0,⬇️空方 ⚠️危險,觀望
2024/11/07,四,23183,23532,-35348,-52895,2830.0,3704.0,-38178,-32981.5,13885.0,⬇️空方 ⚠️危險,觀望
2024/11/08,五,23772,23781,-35242,-50860,2425.0,-1438.0,-37667,-26417.0,16233.5,⬇️空方 ⚠️危險,觀望
2024/11/11,一,23555,23573,-55223,-73127,9700.0,5453.0,-64923,-51716.5,-19168.5,⬇️空方 ⚠️危險,觀望
2024/11/12,二,23013,22869,-49471,-66971,9649.0,11781.0,-59120,-54915.5,-20420.0,⬇️空方 ⚠️危險,觀望
2024/11/13,三,22755,22783,-39526,-58105,4101.0,9454.0,-43627,-42607.5,-3024.5,⬇️空方 ⚠️危險,觀望
2024/11/14,四,22786,22684,-46941,-65809,6842.0,12480.0,-53783,-52226.5,-19245.0,⬇️空方 ⚠️危險,觀望
2024/11/15,五,22710,22759,-42555,-65879,4317.0,8186.0,-46872,-45442.5,-19025.5,⬇️空方 ⚠️危險,觀望
2024/11/18,一,22654,22574,-36622,-66579,5828.0,11781.0,-42450,-50898.5,818.0,⬇️空方 ⚠️危險,觀望
2024/11/19,二,22641,22850,-16528,-55402,6066.0,1733.0,-22594,-35500.0,19415.5,⬇️空方 ⚠️危險,觀望
2024/11/20,三,22906,22686,-50101,-50857,14654.0,11490.0,-64755,-51572.5,-8965.0,⬇️空方 ⚠️危險,觀望
2024/11/21,四,22647,22573,-53807,-54832,13782.0,15280.0,-67589,-56478.0,-4251.5,⬇️空方 ⚠️危險,觀望
2024/11/22,五,22811,23038,-33229,-35858,4156.0,-1159.0,-37385,-20926.0,24516.5,⬇️空方 ⚠️危險,觀望
2024/11/25,一,23254,23066,-56750,-58898,11785.0,4366.0,-68535,-45600.0,5298.5,⬇️空方 ⚠️危險,觀望
2024/11/26,二,22710,22636,-66528,-69346,13121.0,14780.0,-79649,-62574.0,-27074.0,⬇️空方 ⚠️危險,觀望
2024/11/27,三,22600,22347,-59685,-63716,11742.0,20529.0,-71427,-64129.0,-12556.5,⬇️空方 ⚠️危險,觀望
2024/11/28,四,22302,22337,-60690,-65434,10410.0,16158.0,-71100,-59285.0,-2807.0,⬇️空方 ⚠️危險,觀望
2024/11/29,五,22210,22313,-50695,-56394,10473.0,15430.0,-61168,-54100.0,-33174.0,⬇️空方 ⚠️危險,觀望
2024/12/02,一,22530,22827,-31848,-37808,7028.0,4010.0,-38876,-29942.0,15658.0,⬇️空方 ⚠️危險,觀望
2024/12/26,四,23358,23326,0,0,,,0,0.0,62574.0,⬇️空方,觀望
2024/12/27,五,23194,23372,-28737,-30073,-1013.0,1764.0,-27724,-15787.5,48341.5,⬇️空方,觀望
